노선번호,지점번호,도명,시/군,읍/면,동/리,구간,이정(km),연장(km),차로수,시간,계,승용차,버스,소형화물,중형화물,대형화물
당진영덕선,3003,충북,보은,회인,부수,회인IC-보은IC,18.8~29.6,10.8,4,,"45,408","23,185",578,"7,490","10,885","3,270"
당진영덕선,3004,충북,보은,보은,지산,보은IC-속리산IC,29.6~35.6,6,4,,"42,242","21,410",537,"6,979","10,241","3,075"
당진영덕선,3005,충북,보은,탄부,상장,속리산IC-화서IC,35.6~51.8,16.2,4,,"40,701","20,607",522,"6,724","9,879","2,969"
당진영덕선,3006,경북,상주,화서,신봉,화서IC-남상주IC,51.8~70.8,19,4,,"39,317","19,887",500,"6,502","9,549","2,879"
당진영덕선,3007,경북,상주,,양촌,남상주IC-낙동JCT,70.8~79.4,8.6,4,,"40,188","20,313",513,"6,642","9,780","2,940"
당진영덕선,3009,경북,상주,낙동,구잠,상주JCT-동상주IC,79.4~81.4,2,4,,"8,076","5,708",140,"1,341",794,93
당진영덕선,3010,경북,의성,단밀,생송,동상주IC-서의성IC,81.4~92.3,10.9,4,,"10,630","7,499",183,"1,773","1,049",126
당진영덕선,3011,경북,의성,안계,도덕,서의성IC-안동JCT,92.3~112.3,20,4,,"9,807","6,925",169,"1,633",967,113
당진영덕선,3012,경북,의성,단촌,세촌,안동JCT-북의성IC,112.3~118.4,6.1,4,,"11,656","8,999",170,"1,735",668,84
당진영덕선,3013,경북,의성,점곡,사촌,북의성IC-동안동IC,118.4~137.6,19.2,4,,"11,113","8,575",162,"1,660",635,81
당진영덕선,3014,경북,안동,길안,배방,동안동IC-청송IC,137.6~150.8,13.2,4,,"13,477","10,412",198,"2,006",765,96
당진영덕선,3015,경북,청송,파천,옹점,청송IC-동청송·영양IC,150.8~160.5,9.7,4,,"10,567","8,182",154,"1,556",599,76
당진영덕선,3016,경북,영덕,지품,송천,동청송·영양IC-영덕IC,160.5~187.4,26.9,4,,"9,063","7,016",130,"1,323",524,70
옥산오창선,3200,충북,청주,옥산,호죽,옥산JC-서오창IC,0~6.5,6.5,4,,"13,321","8,802",296,"2,471","1,460",292
옥산오창선,3201,충북,청주,오창,성산,서오창IC-오창JC,6.5~12.1,5.6,4,,"7,636","4,485",116,"1,588","1,213",234
중부선,03501-1,경남,통영,용남,동달,통영IC-북통영IC,0~4.4,4.4,4,,"22,500","17,192",533,"3,398",912,465
중부선,03501-2,경남,통영,광도,죽림,북통영IC-동고성IC,4.4~14.6,10.2,4,,"31,171","23,787",712,"4,789","1,244",639
중부선,03501-3,경남,고성,거류,은월,동고성IC-고성IC,14.6~19.7,5.1,4,,"31,091","23,661",720,"4,809","1,261",640
중부선,03501-4,경남,고성,마암,두호,고성IC-연화산IC,19.7~37,17.3,4,,"22,885","17,400",526,"3,562",922,475
중부선,03501-5,경남,고성,영오,오서,연화산IC-진주JCT,37~47.9,10.9,4,,"22,011","16,723",509,"3,430",893,456
중부선,3501,경남,진주,정촌,화개,진주JCT-서진주IC,47.9~55.4,7.5,4,,"35,540","23,167","1,101","4,520","4,616","2,136"
중부선,3502,경남,진주,,판문,서진주IC-단성IC,55.4~70.9,15.5,4,,"30,243","19,856",947,"3,823","3,806","1,811"
중부선,3503,경남,산청,단성,사월,단성IC-산청IC,70.9~89.5,18.6,4,,"28,885","18,910",897,"3,654","3,684","1,740"
중부선,3504,경남,산청,금서,특,산청IC-생초IC,89.5~96.9,7.4,4,,"28,695","18,638",877,"3,664","3,759","1,757"
중부선,3505,경남,산청,생초,평촌,생초IC-함양JCT,96.9~105.2,8.3,4,,"29,037","18,748",867,"3,696","3,849","1,877"
중부선,3506,경남,함양,지곡,공배,함양JCT-지곡IC,105.2~111.6,6.4,4,,"30,201","18,774","1,017","3,854","4,941","1,615"
중부선,3507,경남,함양,지곡,마산,지곡IC-서상IC,111.6~125.5,13.9,4,,"29,918","18,555","1,002","3,824","4,933","1,604"
중부선,3508,경남,함양,서상,옥산,서상IC-장수JCT,125.5~135.1,9.6,4,,"31,137","19,362","1,050","3,965","5,101","1,659"
중부선,3509,전북,장수,장계,삼봉,장수JCT-덕유산IC,135.1~149.6,14.5,4,,"21,633","15,103",946,"2,755","2,224",605
중부선,3510,전북,무주,안성,죽천,덕유산IC-무주IC,149.6~165.6,16,4,,"21,914","15,289",950,"2,791","2,270",614
중부선,3511,전북,무주,무주,가옥,무주IC-금산IC,165.6~184.7,19.1,4,,"25,273","17,587","1,081","3,239","2,640",726
중부선,3512,충남,금산,제원,수당,금산IC-추부IC,184.7~196,11.3,4,,"28,771","19,988","1,210","3,712","3,031",830
중부선,3513,충남,금산,추부,자부,추부IC-남대전IC,196~204.4,8.4,4,,"33,313","23,237","1,418","4,309","3,409",940
중부선,3514,대전,,동,구도,남대전IC-산내JCT,204.4~207.7,3.3,4,,"41,144","28,639","1,759","5,352","4,224","1,170"
중부선,3515,대전,,동,대별,산내JCT-판암IC,207.7~211.9,4.2,4,,"52,231","36,552","1,244","8,321","5,391",723
중부선,3516,대전,,동,삼정,판암IC-비룡JCT,211.9~215.3,3.4,4,,"56,626","39,510","1,353","9,006","5,964",793
중부선,3522,충북,청주,흥덕,석곡,남이JCT-서청주IC,215.3~221.3,6,4,,"67,382","43,521","1,167","10,919","9,414","2,361"
중부선,3523,충북,청주,흥덕,향정,서청주IC-오창IC,221.3~228.7,7.4,4,,"69,258","44,707","1,217","11,128","9,735","2,471"
중부선,03523-1,충북,청원,오창,상평,오창IC-오창JCT,228.7~232.2,3.5,4,,"69,744","45,115","1,222","11,301","9,678","2,428"
중부선,3524,충북,청원,오창,장대,오창JCT-증평IC,232.2~237.1,4.9,4,,"76,305","48,950","1,283","12,702","10,851","2,519"
중부선,3525,충북,진천,초평,연담,증평IC-진천IC,237.1~249.1,12,4,,"73,562","47,226","1,226","12,266","10,420","2,424"
중부선,3526,충북,진천,진천,가산,진천IC-대소JCT,249.1~257.6,8.5,4,,"67,939","43,538","1,099","11,342","9,679","2,281"
중부선,03526-1,충북,음성,대소,삼호,대소JCT-대소IC,257.6~261.8,4.2,4,,"61,339","39,565",956,"11,405","8,078","1,335"
중부선,03526-2,충북,음성,삼성,용성,대소IC-삼성하이패스IC,261.8~266.5,4.7,4,,"59,446","38,337",916,"11,048","7,830","1,315"
중부선,3527,충북,음성,삼성,청용,삼성하이패스IC-일죽IC,266.5~274.7,8.2,4,,"63,981","41,431",975,"11,853","8,341","1,381"
중부선,03527-1,경기,안성,일죽,고은,일죽IC-남이천IC,274.7~285.4,10.7,4,,"73,690","48,193","1,117","13,592","9,339","1,449"
중부선,3528,경기,이천,호법,송갈,남이천IC-호법JCT,285.4~291.4,6,4,,"80,015","52,536","1,192","14,682","10,038","1,567"
중부선,3529,경기,이천,호법,안평,호법JCT-마장JCT,291.4~293.8,2.4,8,,"96,201","63,257","1,674","22,714","7,178","1,378"
중부선,3530,경기,이천,마장,표교,마장JCT-서이천IC,293.8~297.1,3.3,4,,"42,009","26,140",886,"9,339","4,659",985
중부선,3531,경기,이천,신둔,고척,서이천IC-곤지암JCT,297.1~301.7,4.6,4,,"53,491","33,214","1,137","11,941","5,948","1,251"
중부선,03531-1,경기,광주,도척,궁평,곤지암JCT-곤지암IC,301.7~307.8,6.1,4,,"52,083","35,048","1,060","11,241","4,156",578
중부선,3532,경기,광주,실촌,삼,곤지암IC-경기광주JCT,307.8~310.9,3.1,4,,"47,912","32,256",970,"10,332","3,822",532
중부선,03532-1,경기,광주,초월,선동,경기광주JCT-경기광주IC,310.9~319.9,9,4,,"61,848","43,088","1,194","13,272","3,985",309
중부선,3533,경기,광주,중부,상번천,경기광주IC-산곡JCT,319.9~324.9,5,4,,"76,738","53,008","1,485","16,734","5,107",404
